model,mean_typos,median_typos,prob_zero_typos,mean_gap,median_gap,prob_gap_le_2,mean_burst_size,prob_burst_size_ge_2
independent calibrated,10.006,10.0,0.0,22.32443648678659,16.0,0.08723351099267156,1.0852053197402491,0.07899624472974255
markov tired typist,9.741625,9.0,0.001125,20.21513539790112,9.0,0.18809871036001258,1.2030967781774395,0.16272751130802598
hawkes baseline,6.42975,6.0,0.028625,22.32294409966336,3.0,0.43114938053907986,1.577320536015455,0.3185121584741345
